Country Name,CO2 Per Capita (metric tons)
Aruba,25.547678795
Aruba,25.382489719
Aruba,24.975514501
Aruba,24.909065608
Aruba,24.510542626
Aruba,24.964530995
Aruba,24.766706337
Aruba,25.613714952
Aruba,24.750133212
Aruba,24.876705845
Aruba,24.182702245
Aruba,23.922412102
Andorra,8.018180706
Andorra,7.73765678
Andorra,7.484094812
Andorra,7.159140446
Andorra,7.208828523
Andorra,7.088127747
Andorra,6.553476545
Andorra,6.350868305
Andorra,6.296124556
Andorra,6.049172848
Andorra,6.12477049
Andorra,5.96868547
Afghanistan,0.03964437
Afghanistan,0.031434756
Afghanistan,0.041641211
Afghanistan,0.046107612
Afghanistan,0.040727366
Afghanistan,0.05485483
Afghanistan,0.065815968
Afghanistan,0.088141054
Afghanistan,0.158961558
Afghanistan,0.24907353
Afghanistan,0.302936388
Afghanistan,0.425262105
Angola,0.633625299
Angola,0.625351712
Angola,0.786223278
Angola,0.543083667
Angola,1.086604897
Angola,1.069417185
Angola,1.200877147
Angola,1.311096483
Angola,1.369424769
Angola,1.430873373
Angola,1.401654169
Angola,1.35400753
Albania,0.978174681
Albania,1.053304176
Albania,1.229540709
Albania,1.412697196
Albania,1.376212735
Albania,1.412498211
Albania,1.291547969
Albania,1.507535815
Albania,1.580113283
Albania,1.533178094
Albania,1.515632053
Albania,1.60703771
United Arab Emirates,36.904101074
United Arab Emirates,31.516099028
United Arab Emirates,24.956551446
United Arab Emirates,29.4670889
United Arab Emirates,28.481436992
United Arab Emirates,25.914587227
United Arab Emirates,23.954519164
United Arab Emirates,23.195066971
United Arab Emirates,23.033600468
United Arab Emirates,21.102295617
United Arab Emirates,20.120957283
United Arab Emirates,20.43383762
Argentina,3.806975725
Argentina,3.539532688
Argentina,3.253312671
Argentina,3.47503504
Argentina,4.032407013
Argentina,4.111634824
Argentina,4.404525042
Argentina,4.496833655
Argentina,4.744178401
Argentina,4.427960113
Argentina,4.342272052
Argentina,4.562048512
Armenia,1.126529454
Armenia,1.15760795
Armenia,0.998805808
Armenia,1.1291735
Armenia,1.20456698
Armenia,1.443730955
Armenia,1.459636908
Armenia,1.694755259
Armenia,1.868611029
Armenia,1.469960972
Armenia,1.422998378
Armenia,1.671656923
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
American Samoa,
Antigua and Barbuda,4.439238615
Antigua and Barbuda,4.364812845
Antigua and Barbuda,4.536211421
Antigua and Barbuda,4.804484327
Antigua and Barbuda,4.980995619
Antigua and Barbuda,4.974311149
Antigua and Barbuda,5.096289552
Antigua and Barbuda,5.561524699
Antigua and Barbuda,5.628318688
Antigua and Barbuda,5.906292005
Antigua and Barbuda,6.011268671
Antigua and Barbuda,5.823804338
Australia,17.202524409
Australia,16.735067481
Australia,17.372317799
Australia,16.906198166
Australia,17.030341326
Australia,17.174386265
Australia,17.293873823
Australia,17.467002247
Australia,17.704079683
Australia,17.631833051
Australia,16.710904354
Australia,16.519209917
Austria,7.762359194
Austria,8.180002892
Austria,8.287318901
Austria,8.874662113
Austria,8.844004368
Austria,9.027746201
Austria,8.733506631
Austria,8.405092793
Austria,8.262046031
Austria,7.608851293
Austria,8.127692863
Austria,7.769983423
Azerbaijan,3.666271029
Azerbaijan,3.547105484
Azerbaijan,3.623944346
Azerbaijan,3.718169927
Azerbaijan,3.863229639
Azerbaijan,4.091801927
Azerbaijan,4.616299863
Azerbaijan,3.5553401
Azerbaijan,4.051383481
Azerbaijan,3.565668218
Azerbaijan,3.388225879
Azerbaijan,3.647379147
Burundi,0.042809203
Burundi,0.029561001
Burundi,0.029705089
Burundi,0.021800204
Burundi,0.025845471
Burundi,0.019411377
Burundi,0.022756803
Burundi,0.02196433
Burundi,0.021615102
Burundi,0.020867637
Burundi,0.020542078
Burundi,0.021349926
Belgium,11.207847238
Belgium,11.113039429
Belgium,10.364911493
Belgium,11.04114741
Belgium,10.64264053
Belgium,10.335095843
Belgium,10.122879329
Belgium,9.71371759
Belgium,9.699598963
Belgium,9.634775755
Belgium,10.012609694
Belgium,8.849398302
Benin,0.230065879
Benin,0.252987807
Benin,0.280412783
Benin,0.307110875
Benin,0.316583691
Benin,0.292647893
Benin,0.458607507
Benin,0.516298739
Benin,0.500183373
Benin,0.514277812
Benin,0.541771234
Benin,0.509962226
Burkina Faso,0.089716835
Burkina Faso,0.08351019
Burkina Faso,0.081747564
Burkina Faso,0.085214387
Burkina Faso,0.084722421
Burkina Faso,0.083875351
Burkina Faso,0.098340164
Burkina Faso,0.115429246
Burkina Faso,0.115427271
Burkina Faso,0.109774087
Burkina Faso,0.1076731
Burkina Faso,0.11998056
Bangladesh,0.212287044
Bangladesh,0.242619016
Bangladesh,0.247430419
Bangladesh,0.24446636
Bangladesh,0.282229562
Bangladesh,0.262742269
Bangladesh,0.332345776
Bangladesh,0.319840389
Bangladesh,0.334439662
Bangladesh,0.352155282
Bangladesh,0.370359878
Bangladesh,0.372017166
Bulgaria,5.328034342
Bulgaria,5.792010306
Bulgaria,5.672606662
Bulgaria,6.046861677
Bulgaria,6.012888437
Bulgaria,6.18991912
Bulgaria,6.357101164
Bulgaria,6.916687364
Bulgaria,6.778939404
Bulgaria,5.729715977
Bulgaria,5.966883548
Bulgaria,6.71438251
Bahrain,27.956644248
Bahrain,20.042317306
Bahrain,21.642107077
Bahrain,21.623693695
Bahrain,21.670994283
Bahrain,22.153905243
Bahrain,20.01475859
Bahrain,21.443295525
Bahrain,21.519995483
Bahrain,18.136233742
Bahrain,18.435024764
Bahrain,17.947329814
"Bahamas, The",5.600991638
"Bahamas, The",5.177430741
"Bahamas, The",5.100139082
"Bahamas, The",4.807931416
"Bahamas, The",5.343508847
"Bahamas, The",4.856024274
"Bahamas, The",4.531865599
"Bahamas, The",4.521353712
"Bahamas, The",2.99808943
"Bahamas, The",4.630520322
"Bahamas, The",6.829321287
"Bahamas, The",5.199844019
Bosnia and Herzegovina,3.635213155
Bosnia and Herzegovina,3.516694138
Bosnia and Herzegovina,3.755251294
Bosnia and Herzegovina,3.795422854
Bosnia and Herzegovina,4.080225109
Bosnia and Herzegovina,4.227205673
Bosnia and Herzegovina,4.575983248
Bosnia and Herzegovina,4.580386562
Bosnia and Herzegovina,5.231546645
Bosnia and Herzegovina,5.37188996
Bosnia and Herzegovina,5.513993843
Bosnia and Herzegovina,6.19665215
Belarus,5.34418061
Belarus,5.297721696
Belarus,5.310737861
Belarus,5.483469429
Belarus,5.964810791
Belarus,6.112425644
Belarus,6.437868284
Belarus,6.305628975
Belarus,6.592748741
Belarus,6.341938992
Belarus,6.556549631
Belarus,6.682510398
Belize,2.7875558
Belize,2.789916428
Belize,1.398540057
Belize,1.430654846
Belize,1.434471268
Belize,1.462766389
Belize,1.488235638
Belize,1.536093806
Belize,1.473195826
Belize,1.495185156
Belize,1.721708659
Belize,1.670904302
Bermuda,8.006161758
Bermuda,7.920213106
Bermuda,8.335150687
Bermuda,8.0491591
Bermuda,10.528098525
Bermuda,6.916279577
Bermuda,8.070207523
Bermuda,7.968299223
Bermuda,5.955019687
Bermuda,7.095328783
Bermuda,7.320035624
Bermuda,6.07721021
Bolivia,1.225922572
Bolivia,1.156244814
Bolivia,1.10560774
Bolivia,1.60366373
Bolivia,1.458991452
Bolivia,1.322472482
Bolivia,1.586749065
Bolivia,1.318203858
Bolivia,1.412189336
Bolivia,1.459841011
Bolivia,1.547659087
Bolivia,1.599499039
Brazil,1.865808376
Brazil,1.891238736
Brazil,1.835266279
Brazil,1.751490659
Brazil,1.815133482
Brazil,1.842690495
Brazil,1.823133072
Brazil,1.884034471
Brazil,1.990428942
Brazil,1.866522375
Brazil,2.113414545
Brazil,2.191393564
Barbados,4.403041825
Barbados,4.511171616
Barbados,4.525009301
Barbados,4.660168001
Barbados,4.739998755
Barbados,4.938170817
Barbados,4.986394706
Barbados,5.178740847
Barbados,5.871114076
Barbados,5.833678079
Barbados,5.430338453
Barbados,5.580177618
Brunei Darussalam,18.470673475
Brunei Darussalam,17.069020452
Brunei Darussalam,14.139045905
Brunei Darussalam,13.952259574
Brunei Darussalam,13.628827664
Brunei Darussalam,12.767506058
Brunei Darussalam,11.60411517
Brunei Darussalam,24.178409385
Brunei Darussalam,26.338271365
Brunei Darussalam,22.149028625
Brunei Darussalam,21.873222104
Brunei Darussalam,24.392013379
Bhutan,0.708458366
Bhutan,0.669271192
Bhutan,0.698568399
Bhutan,0.612679529
Bhutan,0.485668561
Bhutan,0.608197947
Bhutan,0.588329935
Bhutan,0.575767714
Bhutan,0.606778515
Bhutan,0.549145981
Bhutan,0.677145031
Bhutan,0.766205619
Botswana,2.462152312
Botswana,2.459187385
Botswana,2.510108738
Botswana,2.355629411
Botswana,2.385073131
Botswana,2.476794833
Botswana,2.450894169
Botswana,2.435256168
Botswana,2.530551369
Botswana,2.192294586
Botswana,2.555293381
Botswana,2.323345006
Central African Republic,0.071843143
Central African Republic,0.064745695
Central African Republic,0.063653562
Central African Republic,0.059819121
Central African Republic,0.053332885
Central African Republic,0.052442445
Central African Republic,0.055087916
Central African Republic,0.055850117
Central African Republic,0.054828457
Central African Republic,0.053809109
Central African Republic,0.059398336
Central African Republic,0.063127814
Canada,17.370451613
Canada,16.985029519
Canada,16.559377846
Canada,17.463861757
Canada,17.26361022
Canada,17.42608062
Canada,16.893608189
Canada,17.05189953
Canada,16.366164595
Canada,15.08909766
Canada,14.589053539
Canada,14.135813379
Switzerland,5.435484985
Switzerland,5.942384452
Switzerland,5.589533097
Switzerland,5.478264412
Switzerland,5.466042594
Switzerland,5.563281057
Switzerland,5.595605199
Switzerland,5.034944631
Switzerland,5.281605848
Switzerland,5.372291182
Switzerland,4.952499256
Switzerland,4.625229924
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Channel Islands,
Chile,3.876961939
Chile,3.486635212
Chile,3.55976955
Chile,3.534984654
Chile,3.77389618
Chile,3.84046304
Chile,3.98128427
Chile,4.35156491
Chile,4.316439805
Chile,3.969434147
Chile,4.24672531
Chile,4.61644538
China,2.696862433
China,2.742120813
China,2.885225041
China,3.512245428
China,4.080138906
China,4.441150695
China,4.892727098
China,5.153564017
China,5.311151855
China,5.778143184
China,6.172488876
China,6.710301991
Cote d'Ivoire,0.411145743
Cote d'Ivoire,0.458120175
Cote d'Ivoire,0.423983154
Cote d'Ivoire,0.312160239
Cote d'Ivoire,0.430502632
Cote d'Ivoire,0.431561606
Cote d'Ivoire,0.378474934
Cote d'Ivoire,0.364908082
Cote d'Ivoire,0.356768972
Cote d'Ivoire,0.297496879
Cote d'Ivoire,0.292351513
Cote d'Ivoire,0.312877703
Cameroon,0.215493084
Cameroon,0.209262636
Cameroon,0.203680529
Cameroon,0.220421346
Cameroon,0.223952228
Cameroon,0.20391329
Cameroon,0.207631788
Cameroon,0.305805976
Cameroon,0.283310454
Cameroon,0.332458227
Cameroon,0.325727347
Cameroon,0.268091793
"Congo, Rep.",0.33730179
"Congo, Rep.",0.240713305
"Congo, Rep.",0.176770805
"Congo, Rep.",0.275171061
"Congo, Rep.",0.278308394
"Congo, Rep.",0.353815464
"Congo, Rep.",0.31028035
"Congo, Rep.",0.32666481
"Congo, Rep.",0.34155941
"Congo, Rep.",0.431598927
"Congo, Rep.",0.473472226
"Congo, Rep.",0.538098379
Colombia,1.433620205
Colombia,1.372902655
Colombia,1.33889957
Colombia,1.362245036
Colombia,1.28898988
Colombia,1.407985319
Colombia,1.435823423
Colombia,1.406899642
Colombia,1.451147307
Colombia,1.484764251
Colombia,1.711390678
Colombia,1.560629099
Comoros,0.153992361
Comoros,0.156730333
Comoros,0.159316196
Comoros,0.167954198
Comoros,0.170030255
Comoros,0.177827852
Comoros,0.190925098
Comoros,0.180694914
Comoros,0.181858212
Comoros,0.177475819
Comoros,0.188940811
Comoros,0.220233473
Cabo Verde,0.426262203
Cabo Verde,0.467230869
Cabo Verde,0.539506276
Cabo Verde,0.546869833
Cabo Verde,0.562968965
Cabo Verde,0.618610614
Cabo Verde,0.644052983
Cabo Verde,0.769548992
Cabo Verde,0.591177784
Cabo Verde,0.625391176
Cabo Verde,0.598231164
Cabo Verde,0.859061433
Costa Rica,1.394701499
Costa Rica,1.441367344
Costa Rica,1.556793302
Costa Rica,1.605990591
Costa Rica,1.655258048
Costa Rica,1.616889089
Costa Rica,1.647634719
Costa Rica,1.85890149
Costa Rica,1.880064504
Costa Rica,1.693682921
Costa Rica,1.665177867
Costa Rica,1.704974495
Cuba,2.346304827
Cuba,2.282447286
Cuba,2.332747256
Cuba,2.272494018
Cuba,2.224533836
Cuba,2.309408038
Cuba,2.430747165
Cuba,2.374571685
Cuba,2.696438401
Cuba,2.646355786
Cuba,3.392291813
Cuba,3.172315091
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Curacao,
Cayman Islands,10.908192395
Cayman Islands,10.497218182
Cayman Islands,10.490724599
Cayman Islands,10.435718631
Cayman Islands,9.768536333
Cayman Islands,9.879624869
Cayman Islands,9.675461741
Cayman Islands,11.325815851
Cayman Islands,11.224449693
Cayman Islands,10.335285991
Cayman Islands,10.173449351
Cayman Islands,10.304931071
Cyprus,7.261794131
Cyprus,7.120558679
Cyprus,7.166472936
Cyprus,7.762732054
Cyprus,7.219733281
Cyprus,7.265914897
Cyprus,7.429896031
Cyprus,7.702824917
Cyprus,7.929771311
Cyprus,7.438338502
Cyprus,6.983907546
Cyprus,6.735375823
Czech Republic,12.060797969
Czech Republic,12.092917755
Czech Republic,11.724283499
Czech Republic,11.938436323
Czech Republic,11.40725261
Czech Republic,11.762450035
Czech Republic,11.931201432
Czech Republic,11.974295522
Czech Republic,11.240128968
Czech Republic,10.30516177
Czech Republic,10.61336839
Czech Republic,10.431088135
Germany,10.095639883
Germany,10.366286697
Germany,10.047114279
Germany,9.976374478
Germany,9.909703421
Germany,9.667572788
Germany,9.782471109
Germany,9.489020532
Germany,9.525658763
Germany,8.803954839
Germany,9.179816838
Germany,8.917832846
Djibouti,0.502424705
Djibouti,0.444582938
Djibouti,0.546021981
Djibouti,0.567019888
Djibouti,0.535018837
Djibouti,0.54175456
Djibouti,0.529872323
Djibouti,0.578051792
Djibouti,0.615968351
Djibouti,0.563399208
Djibouti,0.622346841
Djibouti,0.561940931
Dominica,1.473557313
Dominica,1.631883434
Dominica,1.470876429
Dominica,1.622612692
Dominica,1.564308567
Dominica,1.611479686
Dominica,1.556231433
Dominica,2.123695176
Dominica,1.81071091
Dominica,1.807803366
Dominica,1.906487557
Dominica,1.746141565
Denmark,9.613175554
Denmark,9.875092348
Denmark,9.68193193
Denmark,10.388273494
Denmark,9.362701019
Denmark,8.690076931
Denmark,10.11291416
Denmark,9.20201511
Denmark,8.547356106
Denmark,8.05955954
Denmark,8.394657734
Denmark,7.248328717
Dominican Republic,2.311300988
Dominican Republic,2.278507374
Dominican Republic,2.415109633
Dominican Republic,2.399070827
Dominican Republic,2.011351976
Dominican Republic,2.017778603
Dominican Republic,2.103236007
Dominican Republic,2.241251046
Dominican Republic,2.222311005
Dominican Republic,2.103476066
Dominican Republic,2.158413689
Dominican Republic,2.182907888
Algeria,2.819778007
Algeria,2.668327798
Algeria,2.840027912
Algeria,2.856410052
Algeria,2.727017138
Algeria,3.220154559
Algeria,2.990267154
Algeria,3.189978037
Algeria,3.205182841
Algeria,3.428471639
Algeria,3.309911831
Algeria,3.316037892
Ecuador,1.658318708
Ecuador,1.824262709
Ecuador,1.88875499
Ecuador,1.995802056
Ecuador,2.121270026
Ecuador,2.177469736
Ecuador,2.066175813
Ecuador,2.203997908
Ecuador,2.064521305
Ecuador,2.355257087
Ecuador,2.293303404
Ecuador,2.354017387
"Egypt, Arab Rep.",2.068140433
"Egypt, Arab Rep.",1.80246891
"Egypt, Arab Rep.",1.793764997
"Egypt, Arab Rep.",2.048004318
"Egypt, Arab Rep.",2.050540499
"Egypt, Arab Rep.",2.231160223
"Egypt, Arab Rep.",2.341757815
"Egypt, Arab Rep.",2.491357004
"Egypt, Arab Rep.",2.491853031
"Egypt, Arab Rep.",2.462249164
"Egypt, Arab Rep.",2.494817067
"Egypt, Arab Rep.",2.635115225
Eritrea,0.172190987
Eritrea,0.172564423
Eritrea,0.159706979
Eritrea,0.184824489
Eritrea,0.189441072
Eritrea,0.182856855
Eritrea,0.130342391
Eritrea,0.131490396
Eritrea,0.092069391
Eritrea,0.111761081
Eritrea,0.109470529
Eritrea,0.108718365
Spain,7.312740021
Spain,7.307637297
Spain,7.591280782
Spain,7.611166445
Spain,7.908050681
Spain,8.097058048
Spain,7.88419571
Spain,7.920890716
Spain,7.16545181
Spain,6.216973378
Spain,5.815786526
Spain,5.790764234
Estonia,10.867246248
Estonia,11.235200974
Estonia,10.828064668
Estonia,12.43984913
Estonia,12.635547319
Estonia,12.385962245
Estonia,12.020852979
Estonia,14.056085718
Estonia,13.081834431
Estonia,11.048963106
Estonia,13.773196643
Estonia,14.049882518
Ethiopia,0.087585994
Ethiopia,0.062999385
Ethiopia,0.063659604
Ethiopia,0.068295273
Ethiopia,0.070380123
Ethiopia,0.065960442
Ethiopia,0.068835709
Ethiopia,0.073120622
Ethiopia,0.076668381
Ethiopia,0.076906232
Ethiopia,0.07559157
Ethiopia,0.083943117
Finland,10.12847414
Finland,10.996742102
Finland,11.86067583
Finland,13.261096939
Finland,12.832674977
Finland,10.416438052
Finland,12.570638448
Finland,12.098481863
Finland,10.651652172
Finland,9.958628519
Finland,11.530840228
Finland,10.164046099
Fiji,1.066799142
Fiji,1.369132232
Fiji,1.024991081
Fiji,1.055250506
Fiji,1.384610591
Fiji,1.659881726
Fiji,1.644275372
Fiji,1.440917951
Fiji,1.278570124
Fiji,0.994392232
Fiji,1.505259596
Fiji,1.424813248
France,5.976826414
France,6.212048122
France,6.131021892
France,6.206664599
France,6.194114409
France,6.181610461
France,5.995893723
France,5.856547408
France,5.774521922
France,5.511405389
France,5.496706655
France,5.185043424
Faroe Islands,14.82859048
Faroe Islands,16.224283162
Faroe Islands,15.455618309
Faroe Islands,15.646030285
Faroe Islands,15.93254059
Faroe Islands,14.945052444
Faroe Islands,13.986083909
Faroe Islands,14.185394761
Faroe Islands,12.97012071
Faroe Islands,11.842902104
Faroe Islands,12.986678197
Faroe Islands,11.721211746
"Micronesia, Fed. Sts.",1.26295262
"Micronesia, Fed. Sts.",1.642399925
"Micronesia, Fed. Sts.",1.371058953
"Micronesia, Fed. Sts.",1.373202516
"Micronesia, Fed. Sts.",1.376307764
"Micronesia, Fed. Sts.",1.139484736
"Micronesia, Fed. Sts.",1.179769114
"Micronesia, Fed. Sts.",1.360991625
"Micronesia, Fed. Sts.",1.158310361
"Micronesia, Fed. Sts.",1.622550764
"Micronesia, Fed. Sts.",1.167845665
"Micronesia, Fed. Sts.",1.240335923
Gabon,0.854557841
Gabon,1.413926145
Gabon,1.37954238
Gabon,1.093345462
Gabon,1.374250106
Gabon,1.57828952
Gabon,1.478335179
Gabon,1.381898977
Gabon,1.39589453
Gabon,1.423082894
Gabon,1.455445622
Gabon,1.418165749
United Kingdom,9.199798297
United Kingdom,9.233237014
United Kingdom,8.877934874
United Kingdom,9.028317864
United Kingdom,8.987428516
United Kingdom,8.981481479
United Kingdom,8.8973241
United Kingdom,8.615489319
United Kingdom,8.4377732
United Kingdom,7.598999603
United Kingdom,7.841653312
United Kingdom,7.085732086
Georgia,1.026657085
Georgia,0.859400875
Georgia,0.777669956
Georgia,0.877317601
Georgia,1.018467138
Georgia,1.209497375
Georgia,1.486837282
Georgia,1.572983097
Georgia,1.592369727
Georgia,1.576312217
Georgia,1.663506623
Georgia,2.046895742
Ghana,0.334072085
Ghana,0.358645138
Ghana,0.375072777
Ghana,0.375812764
Ghana,0.352614883
Ghana,0.32693445
Ghana,0.42630423
Ghana,0.436236777
Ghana,0.395319087
